专业,课程,课程类型,任务,操作流程,技能名,技能UUID,可观察能力要求,达成结果,对应能力编号,对应能力名称,可达等级,支撑强度
导游（540102）,全国导游基础知识,理论认知类,中国自然地理格局与气候特征认知,,气候类型与旅游适宜性判断,2cdbeac1-ec88-4922-8166-f4b400e0e74e,能解释秦岭-淮河一线的地理意义及季风气候对旅游季节的影响,能说明南北方气候差异，并为不同季节推荐适宜的旅游目的地,,,,
导游（540102）,全国导游基础知识,理论认知类,中国主要水体景观类型与成因机制认知,,湖泊成因分类与实例匹配,15610d44-49d2-4c4c-9001-5d28fd8219d1,能根据成因对主要湖泊进行分类并举例,能区分构造湖、火山口湖、冰川湖、堰塞湖、潟湖，并对应典型湖泊,,,,
导游（540102）,全国导游基础知识,理论认知类,中国主要水体景观类型与成因机制认知,,瀑布与泉水景观鉴赏,f4c6266b-c8e8-43bd-a80d-63c15395477b,能解释瀑布形成的地质条件及名泉的分类,能说明黄果树瀑布、壶口瀑布的成因差异，区分冷泉、温泉、热泉,,,,
导游（540102）,全国导游基础知识,理论认知类,中国动植物资源分布与自然保护区体系认知,,珍稀动植物识别与分布定位,33f83b60-aed7-46d3-b87c-a375238f06d6,能列举“活化石”动植物及其主要保护区,能准确说出大熊猫、朱鹮、扬子鳄、银杉等的分布省份及保护级别,,,,
导游（540102）,全国导游基础知识,理论认知类,中国动植物资源分布与自然保护区体系认知,,自然保护区功能分区认知,bf5b862f-d21b-47fb-bba6-75adcc253fd2,能解释核心区、缓冲区、实验区的旅游活动限制,能明确告知游客哪些区域禁止进入，哪些区域可有限开展生态旅游,,,,
导游（540102）,全国导游基础知识,理论认知类,中国民族分布格局与人口结构特征认知,,民族分布特点阐释,ad6f17bc-157e-4606-a69e-304ee083527a,能解释“大杂居、小聚居”的含义并举例说明,能说明汉族遍布全国，少数民族主要分布在西南、西北、东北地区的格局,,,,
导游（540102）,全国导游基础知识,理论认知类,主要少数民族传统节日与礼仪习俗认知,,少数民族节日与活动匹配,6093a3e4-14b5-458e-a1bc-213d12b0aa70,能将节日名称、所属民族、活动内容正确对应,能准确介绍傣族泼水节、蒙古族那达慕大会、彝族火把节的时间及习俗,,,,
导游（540102）,全国导游基础知识,理论认知类,主要少数民族传统节日与礼仪习俗认知,,民族禁忌与礼仪规范遵守,d36a0c0e-8d6d-498d-9df3-7820d8bef668,能列举并遵守主要少数民族的饮食、行为禁忌,能在接待回族、藏族游客时避免触犯清真饮食禁忌或宗教礼仪禁忌,,,,
导游（540102）,全国导游基础知识,理论认知类,汉族及少数民族民间艺术与禁忌规范认知,,传统戏曲与工艺美术鉴赏,a1fcfdeb-6a05-42e7-83b3-b571ca508833,能区分京剧行当及主要地方戏种，识别四大名绣,能简述生旦净末丑的含义，说出苏绣、湘绣、粤绣、蜀绣的特点,,,,
导游（540102）,全国导游基础知识,理论认知类,中国古建筑结构形式与等级规制认知,,古建筑屋顶等级识别,94a376aa-2718-4e67-bac7-b893d808b96d,能按等级高低排列主要屋顶形式,能正确排序：重檐庑殿顶 > 重檐歇山顶 > 单檐庑殿顶 > 单檐歇山顶 > 悬山 > 硬山,,,,
导游（540102）,全国导游基础知识,理论认知类,中国古建筑结构形式与等级规制认知,,彩画与台基等级认知,15a10363-7726-4b15-bee9-0f1e4fb6db16,能区分和玺彩画、旋子彩画、苏式彩画的应用场景,能指出和玺彩画仅用于皇家宫殿坛庙主殿，苏式彩画多用于园林,,,,
导游（540102）,全国导游基础知识,理论认知类,中国古典园林造园手法与审美意境认知,,造园手法识别与应用分析,c314ac20-46d8-4dfe-8d3f-ea4f37880da1,能识别并解释借景、框景、漏景、抑景等手法,能在实景或图片中指出何处使用了借景（如颐和园借玉泉山塔），何处使用了框景,,,,
导游（540102）,全国导游基础知识,理论认知类,中国古代陵墓建筑形制与风水理念认知,,陵墓形制演变梳理,010e26f7-4fea-4d13-ad8d-75f1412d3769,能区分秦始皇陵、唐乾陵、明十三陵的典型形制特征,能说明“方上”（秦汉）、“以山为陵”（唐）、“宝城宝顶”（明清）的特点,,,,
导游（540102）,全国导游基础知识,理论认知类,佛教、道教教义体系与中国化演变认知,,佛教宗派与中国化特征辨析,16cfc2a4-c822-4530-b01d-5b0164339f9f,能解释禅宗“顿悟”思想及其对中国文人画、诗词的影响,能说明禅宗是中国化最彻底的佛教宗派，强调“直指人心，见性成佛”,,,,
导游（540102）,全国导游基础知识,理论认知类,伊斯兰教、基督教在华传播历史与现状认知,,宗教传播路径与现状描述,ee298733-9465-4d48-9027-d04624bf7b5b,能简述伊斯兰教在西北地区的分布及基督教在城市的发展,能正确说明回族、维吾尔族等十个少数民族普遍信仰伊斯兰教,,,,
导游（540102）,全国导游基础知识,理论认知类,宗教建筑布局特征与供奉对象识别认知,,佛寺布局与佛像识别,defdc28d-e636-418b-8468-1581dddbf8c5,能说明天王殿、大雄宝殿、藏经楼的中轴线布局及供奉对象,能指出天王殿供弥勒佛、韦驮、四大天王；大雄宝殿供释迦牟尼佛等,,,,
导游（540102）,全国导游基础知识,理论认知类,中国八大菜系风味特点与代表菜品认知,,八大菜系风味辨析,7bbfa5b9-2a45-461a-b425-e920be60213f,能比较“南甜北咸、东辣西酸”及各菜系具体味型,能准确说出川菜“百菜百味、麻辣鲜香”，粤菜“清淡鲜嫩、原汁原味”等特点,,,,
导游（540102）,全国导游基础知识,理论认知类,中国八大菜系风味特点与代表菜品认知,,代表菜品与产地对应,f646ae29-2e0a-4d05-adaa-6dc836e16126,能将名菜与其所属菜系及发源地正确对应,能列举东坡肉（浙菜）、烤鸭（鲁菜/京菜）、狮子头（苏菜）等,,,,
导游（540102）,全国导游基础知识,理论认知类,中国茶文化起源、分类与品鉴知识认知,,六大茶类分类与特征识别,c7183a59-fddd-4c88-b62e-2381ef8202dc,能根据发酵程度对六大茶类进行排序并描述色泽、香气特点,能区分绿茶（不发酵）、红茶（全发酵）、乌龙茶（半发酵）的关键差异,,,,
导游（540102）,全国导游基础知识,理论认知类,中国酒文化分类、酿造工艺与名酒品牌认知,,白酒香型与名酒匹配,6ce9f00a-eefc-4d24-8d8a-ca7cf1c7263b,能识别酱香、浓香、清香、米香等白酒香型及代表品牌,能准确说出茅台（酱香）、五粮液（浓香）、汾酒（清香）,,,,
导游（540102）,全国导游基础知识,理论认知类,中国主要风物特产产地、特征与鉴别标准认知,,陶瓷产地与品种识别,1f0da5c1-1842-4210-a48a-89444fec269c,能区分景德镇瓷器、宜兴紫砂、龙泉青瓷的特征,能说出“白如玉、明如镜、薄如纸、声如磬”形容的是景德镇青花瓷,,,,
导游（540102）,全国导游基础知识,理论认知类,世界遗产在中国的分类、分布与价值认知,,世界遗产类型判定,d2478d04-4ce2-40f1-91ce-17a1b1f60301,能根据遗产特征判断其所属类别（文化/自然/双重）,能正确分类泰山（双重）、九寨沟（自然）、长城（文化）,,,,
导游（540102）,全国导游基础知识,理论认知类,国家5A级旅游景区评定标准与典型代表认知,,5A景区标准要点掌握,ec3d7e94-741d-4fc8-8ed4-0877963ba58d,能简述5A级景区在游客中心、标识系统、厕所卫生等方面的硬性要求,能说明5A代表中国旅游景区的最高等级，强调服务质量与环境质量,,,,
导游（540102）,全国导游基础知识,理论认知类,国家级风景名胜区与旅游度假区功能定位认知,,两类区域功能差异辨析,32ae7860-d8a2-4463-8ee1-61ee77ffaeb9,能解释为何风景名胜区内限制大规模商业开发，而度假区鼓励配套设施建设,能准确表述风景名胜区重在“名”，度假区重在“闲”,,,,
导游（540102）,全国导游基础知识,理论认知类,香港特别行政区政治体制与经济特色认知,,香港经济与城市职能认知,be241435-e05b-488f-89ce-f565062ad880,能列举香港作为国际中心的主要职能及地标性建筑,能说明香港是自由贸易港，无关税，货币为港币，地标包括维多利亚港、金紫荆广场,,,,
导游（540102）,全国导游基础知识,理论认知类,澳门特别行政区历史沿革与博彩旅游业认知,,澳门文化特色与景点关联,a3c7c311-4ac3-4377-b115-d3985c343cbb,能解释澳门历史城区的世界遗产价值及博彩业对旅游的带动作用,能列举大三巴牌坊、妈阁庙等景点，说明其中葡合璧风格,,,,
导游（540102）,全国导游基础知识,理论认知类,台湾地区地理环境、社会文化与主要景点认知,,台湾文化与景点知识掌握,5025b82d-8993-475f-819c-1a87ac0c444e,能阐述台湾同胞与大陆同根同源的文化联系，介绍主要自然景观,能说明台湾居民多祖籍福建、广东，通用闽南语、客家话，信奉妈祖,,,,
导游（540102）,全国导游基础知识,理论认知类,亚洲主要客源国地理环境与文化习俗认知,,日韩泰礼仪禁忌识别,12bc703f-d1ff-43a9-8775-54b72af3d7a0,能列举日本鞠躬礼、韩国长幼有序、泰国头部禁忌等习俗,能在接待中避免触摸泰国人头部、递物使用双手等失礼行为,,,,
导游（540102）,全国导游基础知识,理论认知类,欧洲主要客源国历史传统与旅游偏好认知,,欧洲游客行为特征分析,0758a6fd-6e7b-4ebc-aee2-a9ea9857b550,能比较欧洲各国游客在饮食、购物、游览节奏上的偏好差异,能指出德国游客严谨守时、法国游客浪漫注重品味、英国游客绅士保守等特点,,,,
导游（540102）,全国导游基础知识,理论认知类,美洲及大洋洲主要客源国社会结构与礼仪规范认知,,美澳加新礼仪与禁忌掌握,b520a23b-0496-48f7-add7-0d344d1b33e4,能说明小费文化、个人隐私保护、野生动物保护等规范,能正确指导游客在美加澳新支付小费，不询问私人收入年龄,,,,
导游（540102）,导游业务,岗位应用类,接待计划研读与行程确认,计划信息提取与核对,接待计划书关键要素识读,e17a9f95-3c6a-460f-a883-9a3977d0ec9f,能准确识别并提取接待计划书中的团队基本信息、行程节点、服务标准及特殊要求,生成一份标记清晰、重点突出的《接待计划关键信息摘要表》,,,,
导游（540102）,导游业务,岗位应用类,接待计划研读与行程确认,资源落实与行程确认,接待资源联络与确认,f94adf5b-b806-4150-b03d-caf8d725229f,能通过电话联系相关单位，核实预订信息并获取确认回执,获得各协作单位的口头或书面确认，形成《资源确认记录表》,,,,
导游（540102）,导游业务,岗位应用类,行前物资与知识准备,导游实务物资筹备,带团必备物品清点与打包,254693af-17ac-4cc5-afb6-102ef97b394a,能根据行程特点和季节天气，完整列举并打包所需物资，确保无遗漏,形成整装待发的导游工作包,,,,
导游（540102）,导游业务,岗位应用类,行前物资与知识准备,针对性讲解内容备课,客情分析与讲解策略制定,f2dc2914-3e80-4542-b10b-cec735379b3c,能根据团队成员构成分析其兴趣点，调整讲解深度、风格及互动方式,完成《个性化讲解备课笔记》,,,,
导游（540102）,导游业务,岗位应用类,机场/车站接站服务实施,抵达前的迎候准备,接站点位部署与动态监控,00abcd51-b8dd-4edf-b982-4ea83770ff2a,能提前到达指定接站点，设置醒目标识，并实时监控航班/车次延误信息,处于最佳待接状态，掌握准确抵达时间,,,,
导游（540102）,导游业务,岗位应用类,机场/车站接站服务实施,认找团队与初步接触,团队识别与首印象建立,b5be83a2-de2f-4044-be03-fb43c58752ee,能迅速从人群中识别目标团队，主动上前问候，核实领队/全陪身份,与团队建立联系，确认“我是你们的导游”,,,,
导游（540102）,导游业务,岗位应用类,机场/车站接站服务实施,行李协助与登车引导,行李清点与登车组织,f70955ff-c608-4caf-a249-6d3bc3a2344e,能协助游客确认行李件数，引导游客有序行走，协助老弱病残孕登车,全员安全上车，行李放置妥当,,,,
导游（540102）,导游业务,岗位应用类,沿途风光与文化讲解,致欢迎词与城市初印象,欢迎词演讲与氛围营造,67c8d9f5-0c7c-4542-bc5a-ca938746646a,能自信、流畅地进行自我介绍、司机介绍、行程概述，并表达服务意愿,游客注意力集中，对导游产生信任，对城市产生期待,,,,
导游（540102）,导游业务,岗位应用类,沿途风光与文化讲解,沿途即时景观解说,车窗景观捕捉与即兴讲解,f38e9873-4967-4906-af0c-346357e87902,能敏锐发现窗外有代表性的景观，并结合知识库进行简短生动的解说,游客透过车窗了解城市风貌，打发旅途时间,,,,
导游（540102）,导游业务,岗位应用类,入住酒店协助与服务,抵店前的联络与准备,入住前置协调,83fcd679-80d4-4449-a68a-035cca877e41,能在抵达前15-20分钟联系酒店前台，通报团队到达信息，索取预分房单,前台做好准备，导游手中持有分房草表,,,,
导游（540102）,导游业务,岗位应用类,入住酒店协助与服务,现场办理与分房引导,入住手续办理与现场管控,fcf0d241-0b5c-4dff-b193-f247a2bbf26a,能有序组织游客在大堂等候，协助前台核验证件，准确分发房卡，处理突发房态问题,所有游客拿到房卡并知晓房间号,,,,
导游（540102）,导游业务,岗位应用类,入住酒店协助与服务,入住后告知与查房,店内宣讲与巡视,d7978fb6-853e-4904-a9c8-6e1b56453528,能清晰传达次日活动安排，巡视楼层处理遗留问题,游客明确明日安排，无遗留入住问题,,,,
导游（540102）,导游业务,岗位应用类,餐饮安排与特色推介,餐前确认与引导入座,餐厅对接与席位安排,047d3f25-ee3a-48e7-b6f2-fb68d3e06e05,能提前与餐厅确认菜单，抵达后引导游客入座，并特殊关照饮食禁忌者,游客落座，菜单上桌，特殊需求已落实,,,,
导游（540102）,导游业务,岗位应用类,餐饮安排与特色推介,席间服务与文化推介,餐桌文化讲解与服务巡视,c4b32b85-4c3a-4f1c-a245-c199693e4545,能简要介绍当地特色菜的历史典故、吃法，并在用餐期间巡视解决加菜、酒水等问题,游客了解饮食文化，用餐过程顺畅愉快,,,,
导游（540102）,导游业务,岗位应用类,景点导览路线规划,景区信息与现状研判,景区动态信息采集,6bbecb5f-09d7-4d26-8c63-670c6726511d,能通过多种渠道获取景区实时运营数据，判断最佳入园时间和路径,形成景区现状情报简报,,,,
导游（540102）,导游业务,岗位应用类,景点导览路线规划,个性化路线方案设计,游览动线设计与优化,0980388c-31f1-4c19-9075-cf810143ba95,能根据团队体力、兴趣及时间约束，绘制合理的游览路线图，做到不走回头路,形成《团队游览路线执行表》,,,,
导游（540102）,导游业务,岗位应用类,现场实景讲解与互动,定点讲解实施,实地景观解说与演绎,9b104ee4-1ba2-49e3-8ec7-7ac1a8bbc2b5,能结合实物景观，运用多种修辞手法和肢体语言，进行深入浅出的讲解,游客听得懂、喜欢看、有共鸣,,,,
导游（540102）,导游业务,岗位应用类,现场实景讲解与互动,游览过程中的伴随服务,移动中的引导与答疑,4360ae87-be4b-4e30-ba4a-71da6d708a42,能在行进中保持队伍完整，随时回答游客提问，提示脚下安全,队伍有序前进，疑问及时解答,,,,
导游（540102）,导游业务,岗位应用类,游客拍照与安全监护,拍照协助与取景指导,摄影辅助与取景建议,583cb46a-7c46-44cc-a3c7-51baaad51cd7,能推荐最佳拍照角度，协助游客使用自拍杆或三脚架，甚至亲自代为拍摄,游客获得满意的照片,,,,
导游（540102）,导游业务,岗位应用类,游客拍照与安全监护,安全隐患排查与监护,安全巡视与风险干预,33144fea-da62-47a6-9b6d-12506d039aea,能敏锐识别攀爬、涉水、拥挤等危险行为，并及时劝阻,消除安全隐患，游客行为规范,,,,
导游（540102）,导游业务,岗位应用类,游客走失寻找与处理,走失确认与信息收集,走失情况核实与初步研判,84941622-33f3-4d8e-ab81-d342508ac8dd,能快速清点人数，询问同行者，确定走失者身份特征及可能去向,形成《走失者特征信息卡》,,,,
导游（540102）,导游业务,岗位应用类,游客走失寻找与处理,多方联动搜寻,应急搜寻组织与协调,c3914e4a-3497-4b3a-b678-16c08bd8e165,能协调景区广播、安保、监控中心，并合理分配团队成员分头寻找,定位并找到走失游客,,,,
导游（540102）,导游业务,岗位应用类,游客走失寻找与处理,归队安抚与后续预防,心理安抚与防走失强化,48fa0a6a-8a3b-42e7-94d8-4b660f4dace3,能安抚走失游客及家属情绪，不责备，并加强后续防走失措施,团队氛围恢复和谐，安全措施升级,,,,
导游（540102）,导游业务,岗位应用类,常见疾病与受伤急救协助,病情/伤情初步评估,急救状况识别与分级,e536ac7e-c2c7-4412-97e3-b04243d2400a,能观察游客症状，区分轻微不适、急症与危重症，判断是否需要立即送医,确定处置等级（自行休息、送医、呼叫120）,,,,
导游（540102）,导游业务,岗位应用类,常见疾病与受伤急救协助,急救实施与送医协调,基础急救操作与送医协助,485c6272-3a4a-4ec1-947a-255a3c0983f7,能进行止血、包扎、CPR（若持证）等操作，并协调车辆送医，陪同办理挂号,游客得到专业治疗，费用单据齐全,,,,
导游（540102）,导游业务,岗位应用类,交通延误或变更协调,信息核实与预案启动,延误信息研判与决策,6402a80c-1fdf-43bd-88d3-e3cd5f41856c,能从官方渠道获取准确延误信息，评估对后续行程的影响，制定调整方案,形成《行程调整建议书》,,,,
导游（540102）,导游业务,岗位应用类,交通延误或变更协调,沟通协商与执行,变更沟通与情绪管理,9bea98a8-8c1d-484a-880e-6d4e1abd169a,能向游客清晰解释变更原因和方案，争取谅解，并处理退费等事宜,游客签字确认变更方案，情绪稳定,,,,
导游（540102）,导游业务,岗位应用类,游客投诉受理与化解,投诉倾听与共情,投诉接待与情绪疏导,9021af35-181b-4626-8905-b07410090b86,能耐心倾听游客抱怨，不打断、不辩解，运用共情技巧安抚情绪,游客情绪由激动转为平静，愿意沟通解决方案,,,,
导游（540102）,导游业务,岗位应用类,游客投诉受理与化解,问题解决与补偿,方案协商与补偿实施,24200073-2c64-4f3c-a57f-2da17ede4f8a,能根据投诉性质提出合理的补救措施和补偿方案，并与游客达成一致,游客签署和解确认或口头满意，投诉结案,,,,
导游（540102）,导游业务,岗位应用类,离店手续办理与行李清点,退房前准备与查房,退房引导与物品回收,f072ef12-d00c-4feb-93b5-024b81bd8510,能组织游客按时退房，回收房卡，提示检查遗留物品,所有房卡回收，游客携带全部行李到大堂,,,,
导游（540102）,导游业务,岗位应用类,离店手续办理与行李清点,行李交接与账务结算,行李监管与离店结算,fd0a26a2-07c3-4cbe-8f99-fe5e23998ed1,能监督行李搬运，核对件数，与前台结清杂费，办理离店手续,行李上车，账单清零，团队出发,,,,
导游（540102）,导游业务,岗位应用类,送站途中总结与致谢,行程回顾与意见征询,总结性讲解与反馈收集,d8fed7e7-e5c5-4ed8-897f-0e7fb1f5683d,能精炼总结行程亮点，感谢游客配合，并发放/回收意见表,完成行程总结，回收意见表,,,,
导游（540102）,导游业务,岗位应用类,送走游客后的收尾工作,财务报账与票据整理,带团账单编制与报账,2a75d2f2-1bda-49eb-a7f6-d3cae68990db,能分类整理所有发票、收据、签收单，填写报账单，向财务报账,财务审核通过，款项结清,,,,
导游（540102）,导游业务,岗位应用类,送走游客后的收尾工作,物品归还与工作总结,物资归还与复盘总结,484a6e68-7c3c-4456-9fb1-b5eb956ad046,能完好归还公司物资，撰写带团小结，记录特殊情况,物资入库，经验沉淀,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行概念界定与特征分析,概念溯源与内涵界定,研学旅行概念辨析能力,e9a456af-cdbd-44f7-b03a-68cd8bd48f61,能准确阐述研学旅行的定义，并能区分其与普通旅游、夏令营、修学旅行的异同,形成包含定义、核心要素及差异化对比的概念辨析文档,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行概念界定与特征分析,特征归纳与体系构建,研学旅行特征归纳能力,b77767f7-5dc4-4af5-997c-1434b621c8bc,能系统归纳研学旅行的教育性、实践性、公益性、安全性等特征，并解释其内在逻辑,形成研学旅行特征分析图谱及说明文档,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行相关政策标准解读,政策体系梳理与筛选,政策检索与筛选能力,5d6b4ab6-8427-4e6a-b3fb-6f84671fb12e,能全面检索国家、地方及行业层面的研学旅行相关政策，并按效力层级和主题进行分类,形成有效的研学旅行政策法规清单,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行相关政策标准解读,核心条款解读与应用转化,政策条款解读与合规转化能力,6d4e6571-b1a5-4a52-9b76-6de765170096,能精准提取政策中关于资质、安全、收费、课程内容等方面的强制性要求，并转化为业务操作中的合规检查点,形成研学旅行业务合规性检查清单,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行市场现状与发展趋势调研,调研方案设计与数据收集,市场调研设计与执行能力,84abd986-63a1-498e-930b-57bc97392d5f,能设计科学的调研问卷或访谈提纲，并通过多种渠道收集市场规模、竞争格局、用户需求等数据,完成数据收集并形成原始数据库,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行市场现状与发展趋势调研,数据分析与趋势研判,市场数据分析与趋势预测能力,829cdb8f-aa74-486b-a9f9-643327c30dc5,能运用统计工具对收集的数据进行处理，识别市场痛点与机会，并结合宏观环境预测未来发展趋势,撰写完成市场调研分析报告,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行资源分类与价值评估,资源普查与分类建库,研学资源识别与分类能力,ddde6e7d-f2da-4026-8eb0-4702587d3d4e,能依据国家标准或行业惯例，对自然、文化、科技、红色等资源进行准确识别与分类,建立区域研学资源基础数据库,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行资源分类与价值评估,资源教育价值评估,研学资源教育价值评估能力,0c69baeb-e8b8-46b5-af1a-00b953dfe271,能构建评估指标体系，从教育性、安全性、配套服务等维度对资源进行量化或定性评估,输出资源价值评估等级及推荐理由,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行主题提炼与目标设定,主题创意与提炼,研学主题策划能力,7ee9cb15-5bfe-4a67-8cc3-2fd703dab5e3,能结合资源特色、学生学段及社会热点，提炼出鲜明、独特且具有教育意义的研学主题,确定研学主题及其内涵阐释,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行主题提炼与目标设定,学习目标体系构建,研学目标设定能力,892687f2-3ed7-4658-ab5e-8ff8ee98a89a,能依据布鲁姆教育目标分类学或中国学生发展核心素养，制定清晰、可测量的知识、能力、情感态度价值观目标,形成分层级、可评价的目标体系,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行课程内容体系构建,课程结构规划,研学课程结构设计能力,89722091-f335-473d-9672-6828aadd92aa,能依据PBL（项目式学习）或探究式学习理念，设计行前、行中、行后一体化的课程结构,形成清晰的课程模块划分及逻辑关系图,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行课程内容体系构建,学习活动与任务设计,研学活动任务设计能力,8578ab0b-10d6-44e4-953b-c0f9465e7325,能设计具体、有趣、具有挑战性的学习任务单，引导学生主动探究,形成配套的学习任务单或工作页,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学手册设计与开发,手册内容策划与编排,研学手册内容编辑能力,15adf12d-478f-4c0f-8549-5090ecd171a5,能将课程内容、安全须知、行程信息等整合成适合学生阅读的图文内容,完成手册的所有文字内容及图片选配,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学手册设计与开发,视觉设计与排版制作,手册版面设计与美化能力,b8f19554-a5bb-4d2b-9008-4811e8438714,能运用设计软件进行版面布局，选择合适的字体、色彩和配图，提升手册的可读性和美观度,输出PDF或印刷版手册,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行线路要素分析与组合,线路节点筛选,研学节点甄选能力,52ee125e-d4cb-4426-98ab-351b9f7b13f8,能根据主题和目标，从资源库中筛选出合适的研学点，并考虑其空间分布,确定3-5个核心研学节点,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行线路要素分析与组合,线路逻辑组合,线路串联与优化能力,1ec5dff3-63c2-4a5b-b655-4f3de1e744ac,能运用线性、环形、放射形等结构将节点合理串联，形成流畅的游览学习路线,形成线路走向图及节点顺序,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行行程日程编排,时间块划分与分配,研学时间管理能力,0d66f976-ccd6-40b5-9ec2-6ba8daac522e,能科学划分一天的时间块，合理分配学习、用餐、休息、交通的时间比例,形成每日粗略时间框架,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行行程日程编排,日程细节完善与校验,日程可行性校验能力,c16b0cf3-f025-44d6-91eb-df2912670d73,能检查日程的逻辑冲突、时间紧迫性，并进行微调优化,输出最终版行程日程表,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行产品定价策略制定,成本构成分析与核算,研学产品成本核算能力,a7adf62e-77e5-4694-b4fe-61b7f372fcdc,能准确识别并计算研学产品的直接成本（食住行游学）和间接成本（管理、营销、税费）,得出单人保本成本价,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行产品定价策略制定,定价策略选择与价格制定,研学产品定价决策能力,1905fa62-a2b1-4c78-916b-d4b6ccd59588,能结合市场竞争、客户支付意愿及公益属性，选择适当的定价策略（成本加成、竞争导向、价值导向）,确定最终市场售价,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行产品方案整体编制,方案结构整合,产品方案整合能力,3916851d-f227-495a-a84e-806bd90e39c0,能将前述的任务成果（主题、课程、线路、日程、价格等）有机整合成一个逻辑严密的完整方案,形成方案初稿,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行产品方案整体编制,方案审核与美化,方案审校与呈现能力,94e80cf5-ed6c-4d77-ac73-da51a5fcbfd7,能对方案进行文字润色、排版美化，并检查逻辑漏洞,输出最终版PDF/纸质方案,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行目标客户群体画像分析,客户细分与特征提取,客户细分与画像构建能力,115390a0-bf97-4320-b4b9-dbf9fb59be94,能依据 demographics（人口统计）和 psychographics（心理特征）对客户进行细分，并构建典型画像,形成3-4个典型客户画像,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行营销渠道选择与策略制定,渠道评估与选择,营销渠道评估与选择能力,d23f9530-0b58-43de-80ef-aab0840fee0d,能分析各营销渠道（学校、OTA、自媒体、社群）的优缺点，并根据目标客户选择最佳组合,确定核心渠道与辅助渠道,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行营销渠道选择与策略制定,渠道运营策略制定,渠道运营策略制定能力,e28902f3-e09c-4c71-9866-2bb8d8ca1c5b,能针对不同渠道制定具体的内容投放、活动策划和合作机制,形成渠道运营执行表,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行 promotional 方案策划,推广主题与创意构思,推广创意策划能力,b8a084c4-a7b8-47b2-ad41-34c2466d038f,能结合节假日、开学季等节点，策划具有爆发力的推广活动主题,确定推广Slogan及核心创意,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行 promotional 方案策划,推广执行计划编制,推广执行规划能力,72d2db18-61a7-427b-be0a-83546797f95f,能制定详细的推广执行时间表、物料清单及预算,输出可执行的推广方案,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行客户关系维护与管理,客户触点管理与服务设计,客户触点服务能力,f8c0c0a4-8a9b-47a8-82de-78a77f7760e1,能识别客户旅程中的关键触点（咨询、报名、行前、行中、行后），并设计相应的服务动作,形成触点服务SOP,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行客户关系维护与管理,投诉处理与满意度提升,客户投诉处理与关系修复能力,dde28ca7-c925-4c40-a9b9-8d03763cc09e,能妥善处理客户投诉，将其转化为信任契机，并建立长效回访机制,形成危机公关与关系维护机制,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行行前准备与物资统筹,行前信息采集与确认,行前信息核查能力,03ba4332-f973-48b3-b41e-d96f6526f42a,能收集并核实所有参团学生的身份信息、健康状况、饮食禁忌等关键数据,形成最终参团名单及特殊需求备注,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行行前准备与物资统筹,物资采购与打包分发,物资统筹与管理能力,a9c17e24-626f-4b61-9abc-d64a26bad638,能根据行程和需求，清单化采购、清点、分装研学物资（手册、服装、药品、教具）,完成物资打包并移交带队老师,,,,
导游（540102）,研学旅行策划与管理,综合拓展类,研学旅行导师配置与团队协作,导师岗位匹配,研学导师选拔与配置能力,f13f32a5-f87f-4e07-8b07-6e0e7dd526d2,能根据师生比、专业背景、性格特质配置主讲导师、助教导师和生活导师,确定项目组人员构成,,,,
